"E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr"
"510.3","858","510.3","1773","488.6","2856","509.3","3556","509.38","4371","510.3","922","510.3","1824","488.6","2943","509.3","3753","509.38","4600","510.3","786","510.3","1716","488.6","2712","509.3","3325","509.38","4151","510.3","1126","510.3","2274","488.6","3871","509.3","4674","509.38","5543","510.3","906","510.3","1788","488.6","2829","509.3","3525","509.38","4424"
"522.4","813","522.4","1614","500.2","2735","521.4","3334","521.46","4148","522.4","858","522.4","1707","500.2","2786","521.4","3516","521.46","4369","522.4","771","522.4","1532","500.2","2602","521.4","3062","521.46","3854","522.4","1040","522.4","2045","500.2","3421","521.4","4163","521.46","5205","522.4","817","522.4","1694","500.2","2698","521.4","3330","521.46","4144"
"534.5","787","534.6","1559","511.8","2413","533.5","3117","533.55","3861","534.5","764","534.6","1618","511.8","2614","533.5","3134","533.55","3889","534.5","671","534.6","1448","511.8","2462","533.5","2871","533.55","3609","534.5","934","534.6","2039","511.8","3240","533.5","3995","533.55","4868","534.5","785","534.6","1580","511.8","2517","533.5","3097","533.55","3902"
"546.6","763","546.7","1520","523.4","2500","545.6","2994","545.64","3760","546.6","748","546.7","1437","523.4","2473","545.6","3018","545.64","3626","546.6","734","546.7","1445","523.4","2232","545.6","2799","545.64","3566","546.6","900","546.7","1829","523.4","3059","545.6","3650","545.64","4678","546.6","728","546.7","1510","523.4","2411","545.6","3058","545.64","3802"
"558.7","819","558.8","1474","535.1","2300","557.7","3026","557.72","3677","558.7","712","558.8","1391","535.1","2363","557.7","2781","557.72","3563","558.7","688","558.8","1422","535.1","2159","557.7","2708","557.72","3352","558.7","919","558.8","1876","535.1","2951","557.7","3739","557.72","4548","558.7","733","558.8","1470","535.1","2367","557.7","2967","557.72","3638"
"570.8","695","570.9","1458","546.7","2140","569.8","2940","569.81","3536","570.8","697","570.9","1399","546.7","2228","569.8","2721","569.81","3453","570.8","684","570.9","1338","546.7","2079","569.8","2679","569.81","3375","570.8","907","570.9","1824","546.7","2789","569.8","3660","569.81","4639","570.8","704","570.9","1470","546.7","2260","569.8","2880","569.81","3614"
"582.9","730","583","1473","558.3","2217","581.9","2830","581.89","3678","582.9","753","583","1371","558.3","1980","581.9","2758","581.89","3416","582.9","683","583","1344","558.3","1925","581.9","2572","581.89","3443","582.9","982","583","1964","558.3","2569","581.9","3929","581.89","5068","582.9","749","583","1450","558.3","2093","581.9","2790","581.89","3557"
"595.1","779","595.1","1495","569.9","2174","594","3098","593.98","3687","595.1","719","595.1","1407","569.9","2028","594","2923","593.98","3553","595.1","667","595.1","1377","569.9","1997","594","2828","593.98","3528","595.1","1290","595.1","2426","569.9","2596","594","4984","593.98","6136","595.1","734","595.1","1460","569.9","2148","594","3065","593.98","3793"
"607.2","864","607.2","1651","581.5","2121","606.1","3291","606.06","4117","607.2","839","607.2","1628","581.5","2064","606.1","3177","606.06","3946","607.2","809","607.2","1586","581.5","2079","606.1","3136","606.06","3923","607.2","1652","607.2","3427","581.5","2879","606.1","6810","606.06","8632","607.2","822","607.2","1610","581.5","2147","606.1","3332","606.06","4104"
"619.3","931","619.3","2018","593.1","2288","618.1","3852","618.15","4717","619.3","900","619.3","1822","593.1","2107","618.1","3647","618.15","4479","619.3","928","619.3","1765","593.1","2080","618.1","3671","618.15","4523","619.3","2409","619.3","4867","593.1","3566","618.1","9902","618.15","12009","619.3","918","619.3","1856","593.1","2203","618.1","3789","618.15","4607"
"631.4","1090","631.4","2189","604.7","2455","630.2","4549","630.24","5469","631.4","1056","631.4","2123","604.7","2293","630.2","4362","630.24","5189","631.4","1070","631.4","2157","604.7","2204","630.2","4268","630.24","5336","631.4","3294","631.4","6497","604.7","4742","630.2","13120","630.24","16311","631.4","1064","631.4","2213","604.7","2455","630.2","4522","630.24","5687"
"643.5","1301","643.5","2601","616.4","2703","642.3","5267","642.32","6453","643.5","1279","643.5","2584","616.4","2568","642.3","5146","642.32","6282","643.5","1292","643.5","2559","616.4","2627","642.3","5077","642.32","6308","643.5","4095","643.5","8049","616.4","6607","642.3","16235","642.32","20221","643.5","1334","643.5","2628","616.4","2780","642.3","5206","642.32","6492"
"655.6","1577","655.6","2976","628","3253","654.4","5908","654.41","7412","655.6","1456","655.6","2929","628","2988","654.4","5848","654.41","7218","655.6","1518","655.6","2874","628","3126","654.4","5855","654.41","7197","655.6","4402","655.6","8939","628","9110","654.4","17871","654.41","22170","655.6","1510","655.6","3018","628","3254","654.4","6006","654.41","7518"
"667.7","1649","667.7","3118","639.6","3749","666.5","6580","666.49","8217","667.7","1570","667.7","3047","639.6","3547","666.5","6337","666.49","7746","667.7","1587","667.7","3057","639.6","3539","666.5","6158","666.49","7796","667.7","4299","667.7","8474","639.6","11140","666.5","17358","666.49","21302","667.7","1580","667.7","3200","639.6","3709","666.5","6348","666.49","8131"
"679.8","1699","679.8","3310","651.2","4360","678.6","6471","678.58","8057","679.8","1512","679.8","3226","651.2","3989","678.6","6412","678.58","7956","679.8","1525","679.8","3274","651.2","4137","678.6","6219","678.58","7820","679.8","3861","679.8","7459","651.2","12197","678.6","15110","678.58","18844","679.8","1584","679.8","3275","651.2","4245","678.6","6475","678.58","8146"
"691.9","1490","691.9","3132","662.8","4715","690.7","6203","690.67","7946","691.9","1552","691.9","2947","662.8","4522","690.7","6077","690.67","7745","691.9","1524","691.9","3003","662.8","4562","690.7","6143","690.67","7528","691.9","3047","691.9","6307","662.8","12451","690.7","12739","690.67","15960","691.9","1525","691.9","3204","662.8","4568","690.7","6335","690.67","7951"
