"E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr"
"2811.2","0","2810.4","0","2695.4","0","2806.1","0","2805.7","2","2811.2","0","2810.4","1","2695.4","0","2806.1","0","2805.7","0","2811.2","0","2810.4","0","2695.4","0","2806.1","0","2805.7","1","2811.2","0","2810.4","0","2695.4","0","2806.1","0","2805.7","0","2811.2","0","2810.4","0","2695.4","0","2806.1","0","2805.7","1"
"2823.3","0","2822.5","0","2707.1","0","2818.2","1","2817.79","0","2823.3","0","2822.5","0","2707.1","0","2818.2","0","2817.79","1","2823.3","0","2822.5","0","2707.1","0","2818.2","0","2817.79","1","2823.3","0","2822.5","0","2707.1","1","2818.2","1","2817.79","0","2823.3","0","2822.5","0","2707.1","0","2818.2","0","2817.79","0"
"2835.4","0","2834.6","0","2718.7","1","2830.3","0","2829.87","1","2835.4","0","2834.6","0","2718.7","0","2830.3","2","2829.87","0","2835.4","0","2834.6","0","2718.7","0","2830.3","0","2829.87","1","2835.4","0","2834.6","0","2718.7","0","2830.3","0","2829.87","0","2835.4","0","2834.6","0","2718.7","0","2830.3","0","2829.87","0"
"2847.6","1","2846.7","0","2730.3","0","2842.4","0","2841.96","0","2847.6","0","2846.7","0","2730.3","0","2842.4","0","2841.96","1","2847.6","0","2846.7","0","2730.3","0","2842.4","0","2841.96","0","2847.6","0","2846.7","0","2730.3","0","2842.4","0","2841.96","1","2847.6","0","2846.7","0","2730.3","0","2842.4","0","2841.96","0"
"2859.7","0","2858.8","0","2741.9","0","2854.5","0","2854.04","0","2859.7","0","2858.8","0","2741.9","0","2854.5","0","2854.04","0","2859.7","0","2858.8","0","2741.9","0","2854.5","0","2854.04","1","2859.7","1","2858.8","0","2741.9","0","2854.5","0","2854.04","1","2859.7","0","2858.8","0","2741.9","0","2854.5","0","2854.04","1"
"2871.8","1","2870.9","0","2753.5","2","2866.6","0","2866.13","0","2871.8","0","2870.9","0","2753.5","0","2866.6","0","2866.13","0","2871.8","0","2870.9","0","2753.5","0","2866.6","0","2866.13","0","2871.8","0","2870.9","0","2753.5","0","2866.6","0","2866.13","1","2871.8","0","2870.9","0","2753.5","1","2866.6","0","2866.13","0"
"2883.9","0","2883","0","2765.1","0","2878.7","0","2878.22","0","2883.9","0","2883","0","2765.1","1","2878.7","0","2878.22","0","2883.9","0","2883","1","2765.1","0","2878.7","0","2878.22","0","2883.9","0","2883","0","2765.1","0","2878.7","0","2878.22","1","2883.9","0","2883","0","2765.1","0","2878.7","0","2878.22","0"
"2896","0","2895.1","0","2776.7","0","2890.7","0","2890.3","0","2896","0","2895.1","1","2776.7","0","2890.7","0","2890.3","0","2896","0","2895.1","0","2776.7","0","2890.7","0","2890.3","0","2896","0","2895.1","0","2776.7","0","2890.7","1","2890.3","0","2896","0","2895.1","0","2776.7","0","2890.7","1","2890.3","1"
"2908.1","0","2907.2","1","2788.4","0","2902.8","0","2902.39","0","2908.1","0","2907.2","0","2788.4","0","2902.8","0","2902.39","0","2908.1","0","2907.2","1","2788.4","0","2902.8","0","2902.39","0","2908.1","0","2907.2","0","2788.4","0","2902.8","0","2902.39","0","2908.1","0","2907.2","0","2788.4","0","2902.8","0","2902.39","0"
"2920.2","0","2919.3","0","2800","0","2914.9","0","2914.47","0","2920.2","1","2919.3","0","2800","0","2914.9","1","2914.47","0","2920.2","0","2919.3","0","2800","0","2914.9","0","2914.47","0","2920.2","0","2919.3","0","2800","0","2914.9","0","2914.47","0","2920.2","0","2919.3","0","2800","0","2914.9","1","2914.47","0"
"2932.3","0","2931.4","0","2811.6","0","2927","0","2926.56","0","2932.3","0","2931.4","0","2811.6","0","2927","0","2926.56","0","2932.3","0","2931.4","0","2811.6","1","2927","1","2926.56","0","2932.3","0","2931.4","0","2811.6","0","2927","1","2926.56","0","2932.3","0","2931.4","0","2811.6","0","2927","0","2926.56","0"
"2944.4","0","2943.5","0","2823.2","1","2939.1","1","2938.65","0","2944.4","1","2943.5","0","2823.2","0","2939.1","0","2938.65","0","2944.4","0","2943.5","0","2823.2","0","2939.1","0","2938.65","0","2944.4","0","2943.5","0","2823.2","0","2939.1","0","2938.65","0","2944.4","0","2943.5","0","2823.2","0","2939.1","1","2938.65","0"
"2956.5","0","2955.6","0","2834.8","0","2951.2","0","2950.73","0","2956.5","0","2955.6","0","2834.8","0","2951.2","0","2950.73","1","2956.5","0","2955.6","0","2834.8","0","2951.2","0","2950.73","0","2956.5","0","2955.6","0","2834.8","0","2951.2","1","2950.73","0","2956.5","0","2955.6","0","2834.8","0","2951.2","0","2950.73","0"
"2968.7","0","2967.7","0","2846.4","0","2963.3","0","2962.82","2","2968.7","0","2967.7","1","2846.4","0","2963.3","0","2962.82","0","2968.7","0","2967.7","0","2846.4","0","2963.3","0","2962.82","0","2968.7","0","2967.7","0","2846.4","0","2963.3","2","2962.82","1","2968.7","0","2967.7","0","2846.4","0","2963.3","1","2962.82","0"
"2980.8","0","2979.8","0","2858.1","0","2975.4","0","2974.9","0","2980.8","0","2979.8","0","2858.1","0","2975.4","1","2974.9","0","2980.8","0","2979.8","0","2858.1","0","2975.4","0","2974.9","0","2980.8","0","2979.8","0","2858.1","0","2975.4","1","2974.9","0","2980.8","0","2979.8","0","2858.1","0","2975.4","0","2974.9","0"
"2992.9","0","2991.9","0","2869.7","0","2987.5","0","2986.99","0","2992.9","0","2991.9","0","2869.7","0","2987.5","0","2986.99","0","2992.9","0","2991.9","0","2869.7","0","2987.5","0","2986.99","0","2992.9","0","2991.9","0","2869.7","0","2987.5","0","2986.99","0","2992.9","0","2991.9","0","2869.7","0","2987.5","0","2986.99","1"
"3005","0","3004","0","2881.3","1","2999.5","0","2999.07","0","3005","0","3004","1","2881.3","1","2999.5","0","2999.07","0","3005","0","3004","0","2881.3","0","2999.5","0","2999.07","1","3005","0","3004","0","2881.3","0","2999.5","0","2999.07","0","3005","0","3004","0","2881.3","0","2999.5","0","2999.07","0"
"3017.1","0","3016.2","0","2892.9","0","3011.6","0","3011.16","0","3017.1","0","3016.2","0","2892.9","0","3011.6","0","3011.16","1","3017.1","0","3016.2","0","2892.9","0","3011.6","0","3011.16","0","3017.1","0","3016.2","0","2892.9","0","3011.6","0","3011.16","0","3017.1","0","3016.2","0","2892.9","0","3011.6","0","3011.16","0"
"3029.2","0","3028.3","0","2904.5","0","3023.7","0","3023.25","0","3029.2","0","3028.3","0","2904.5","0","3023.7","0","3023.25","0","3029.2","0","3028.3","0","2904.5","0","3023.7","0","3023.25","0","3029.2","0","3028.3","0","2904.5","0","3023.7","0","3023.25","0","3029.2","0","3028.3","0","2904.5","0","3023.7","0","3023.25","0"
"3041.3","0","3040.4","0","2916.1","1","3035.8","0","3035.33","0","3041.3","0","3040.4","0","2916.1","0","3035.8","1","3035.33","0","3041.3","0","3040.4","0","2916.1","1","3035.8","0","3035.33","0","3041.3","0","3040.4","0","2916.1","0","3035.8","0","3035.33","0","3041.3","0","3040.4","0","2916.1","0","3035.8","0","3035.33","1"
"3053.4","0","3052.5","0","2927.7","1","3047.9","0","3047.42","0","3053.4","0","3052.5","0","2927.7","0","3047.9","0","3047.42","0","3053.4","0","3052.5","0","2927.7","0","3047.9","0","3047.42","0","3053.4","0","3052.5","0","2927.7","0","3047.9","0","3047.42","0","3053.4","0","3052.5","0","2927.7","0","3047.9","0","3047.42","0"
"3065.5","15","3064.6","32","2939.4","51","3060","63","3059.5","76","3065.5","10","3064.6","27","2939.4","47","3060","52","3059.5","80","3065.5","15","3064.6","22","2939.4","34","3060","67","3059.5","72","3065.5","11","3064.6","22","2939.4","46","3060","69","3059.5","54","3065.5","9","3064.6","28","2939.4","37","3060","65","3059.5","77"
